// 1@tnm3,141,104,5,21004	itemshop	Profesor Oak	10342,19499,28122:100,28123:100,28124:100,28125:100
// 1@tnm3,134,104,5,21004	itemshop	Chanta Claus	10019,19499,28167:2000,28168:2000,28169:2000,28170:2000,28171:2000,28172:2000,28173:2000,28174:2000,28175:2000,28176:2000,28177:2000,28178:2000,28179:2000,28222:2000,28223:2000,28261:2000,28281:2000

//DONA SHOP
seal_in01,13,29,5,21004	itemshop	Seal Shop 4	10049,19500,20301:300,20302:300,20303:300,20304:300,20311:300,20312:300,20313:300,20314:300,20315:300,20316:300,20317:300,20318:300,20319:300,20321:300,20324:300,20325:300,20326:300,20327:300,20328:300,20329:300,20330:300,20273:300,20274:300,20277:300,20278:300,20279:300,20280:300,20281:300,20282:300,20283:300,20284:300,20286:300,20287:300,20288:300,20291:300,20292:300,20293:300,20294:300,20295:300,20296:300,20297:300,20298:300,20299:300,20300:300,20032:300,20033:300,25103:300,25107:300,28088:300,28089:300,20233:300;
seal_in01,13,31,5,21004	itemshop	Seal Shop 5	10049,19500,20241:300,20243:300,25145:300,20244:300,20245:300,20246:300,20247:300,20248:300,20249:300,20250:300,28110:300,28106:300,28108:300,20251:300,20252:300,20253:300,20254:300,20255:300,20256:300,20257:300,20258:300,20259:300,20260:300,20262:300,20263:300,20264:300,20265:300,20266:300,20267:300,20268:300,20269:300,20270:300,20211:300,20214:300,20215:300,20216:300,20217:300,20218:300,20219:300,20220:300,20221:300,20222:300,20224:300,20225:300,20227:300,20228:300,25276:300,20230:300,20231:300,20232:300,20235:300;
seal_in01,13,33,5,21004	itemshop	Seal Shop 6	10049,19500,20151:300,20152:300,20153:300,20155:300,20156:300,20160:300,20161:300,20162:300,20163:300,20164:300,20166:300,20167:300,20168:300,20169:300,20170:300,20171:300,20172:300,20173:300,20174:300,20175:300,27995:300,20176:300,20178:300,20179:300,20121:300,20122:300,20126:300,20127:300,20128:300,20129:300,20130:300,20131:300,20132:300,20133:300,20134:300,20135:300,20136:300,20139:300,20140:300,20141:300,20142:300,20143:300,20144:300,20147:300,20148:300,20149:300,20150:300,20035:300,20036:300,20037:300,20039:300;
seal_in01,13,35,5,21004	itemshop	Seal Shop 7	10049,19500,25066:300,25100:300,25117:300,25144:300,25146:300,25148:300,25149:300,25150:300,25161:300,25279:300,25280:300,25293:300,25294:300,25180:300,25189:300,25260:300,25261:300,25262:300,25263:300,28096:300,27994:300,27995:300,27999:300,28082:300,28087:300,28090:300,28091:300,28095:300,28097:300,28098:300,28099:300,31481:300,31195:300,31670:300,28127:300,28126:300,28129:300,28068:300,28069:300,28070:300,28071:300,28072:300,28073:300,28075:300,28076:300,28077:300,28078:300,28079:300,28080:300,28081:300,28083:300;
seal_in01,13,37,5,21004	itemshop	Seal Shop 8	10049,19500,31165:300,31529:300,18697:300,20508:300,31167:300,20031:300,19649:300,31509:300,31027:300,31472:300,19989:300,31390:300,31315:300,19521:300,31087:300,31095:300,31097:300,31098:300,31099:300,31100:300,31101:300,31102:300,31103:300,25135:300,31301:300,31398:300,20172:300,20098:300,31062:300,20450:300,19910:300,31527:300,19430:300,31183:300,28276:300,28262:300,28257:300,28218:300,19425:300,20383:300,28259:300,28247:300,28237:300,19424:300,19423:300,19422:300,19567:300,19566:300,19559:300,19955:300;
seal_in01,22,13,5,21004	itemshop	Seal Shop Consus	10049,19500,12028:30,12029:30,12030:30,12031:30,12033:30,12034:30,13891:100,13893:100,13894:100,13892:100,13698:200,12913:200,32016:300,12915:300,13912:1500,13913:1500,12202:100,12203:100,12204:100,12205:100,12206:100,12207:100;


// Battleground Shops
bat_room,148,162,5,21004	itemshop	Battleground Mid Hat	10132,6376,28032:3000,5421:7000,5325:7000,5389:7000,5800:7000,28180:12000,28181:12000,28185:12000,28193:12000,28197:12000,28202:12000,28206:12000,28211:12000,28213:12000,28216:12000,28224:12000
bat_room,152,162,5,21004	itemshop	Battleground Low Hat	10210,6376,5361:3000,5377:5000,28036:5000,5548:7000,5536:7000,5574:7000,5594:7000,5596:7000,5597:7000,25264:7000,25184:7000,25185:7000,25186:7000,25187:7000,5463:8000,28142:9000,28143:9000,28144:9000,28145:9000,28146:9000,28147:9000,5155:12000,28133:12000,28134:12000,28135:12000,28136:12000,28137:12000,28138:12000,28139:12000,28140:12000,28141:12000
bat_room,156,162,5,21004	itemshop	Battleground Upper Hat	10187,6376,28275:3000,28273:3000,5557:3000,28034:5000,28249:5000,28251:5000,5378:5000,5314:5000,5340:6000,5341:6000,5342:6000,5343:6000,5344:6000,5345:6000,25181:6000,25182:6000,25183:6000,5293:7000,28236:7000,28033:7000,28243:8000,28252:8000,28258:8000,28272:8000,28277:8000,28280:8000,28027:8000,5359:8000,28234:8000,25062:8000,28029:9000,28025:9000,5137:9000,25278:9000,5376:9000,25133:9000,5420:10000,5225:10000,28245:10000,5411:10000,5388:10000,5423:10000,28253:10000,28235:10000,5374:15000,5518:15000,5453:8000,5452:12000,5451:20000
bat_room,165,143,5,21004	itemshop	Battleground Shop	10058,6376,7608:7000,13570:1000,13989:1000,14004:1000,12887:3000,40012:20000,7776:1000,14168:5000,13710:8000,14533:1500,19492:8000,12210:1500,19493:8000,7619:1500,13610:7000,7620:1500,13611:7000
bat_room,148,140,5,21004	itemshop	Battleground Food Shop	820,6376,12202:100,12203:100,12204:100,12205:100,12206:100,12207:100
